0.000000000	N
3.297233560	Gmaj7
6.037188209	Bb
7.523265306	C
8.684263039	Dm
10.448979592	Dm7
11.656417234	Bbmaj7
13.514013605	C
14.628571429	Dm
16.950566893	Bbmaj7
19.551201814	C
20.665759637	Dm
22.569795918	Dm7
24.009433107	Bbmaj7
25.449070295	C
26.238548753	F
26.656507937	Dm
30.139501134	Bb
31.532698413	C7
32.647256236	Dm
35.247891156	Bb6
37.477006803	C
38.638004535	Dm
39.706122449	Ddim
40.867120181	Am6
41.981678005	Bb6
43.514195011	C
44.628752834	Dm
46.347029478	G
47.693786848	Bb
49.458503401	C
50.619501134	Dm
52.895056689	A6
54.009614512	Bb6
55.588571429	C
56.610249433	Dm
59.210884354	Bb
61.440000000	C
62.600997732	Dm
65.062312925	F
66.037551020	Bb6
67.523628118	C
68.638185941	Dm
70.681541950	Bb6
72.817777778	Bbaug
73.514376417	C
74.628934240	Dm
76.858049887	C7
77.972607710	Dmaj7
79.876643991	Gm7
81.176961451	Gmaj7
82.988117914	Gm7b5/F
83.963356009	E7
86.238911565	C#6
86.981950113	D
88.885986395	Bbmaj7
90.000544218	G
92.229659864	Bb/F
92.926258503	Emaj7
94.412335601	Bbmaj7
97.523809524	C
98.684807256	Dm
100.495963719	C
100.960362812	Bbmaj7
103.468117914	C6
104.675555556	Dm
106.997551020	Fmaj7
107.740589569	Bbmaj7
109.505306122	C
110.712743764	Dm
112.477460317	Dm7
113.638458050	Bb7
115.496054422	C6
116.610612245	Dm
118.468208617	Bb7
121.533242630	Cmaj7
122.601360544	Dm
125.248435374	Bb
127.477551020	C
128.638548753	Dm
131.239183673	Cm7b5
131.703582766	Bbmaj7
133.514739229	C
134.629297052	Dm
136.951292517	Cm7b5
137.972970522	Bb
139.459047619	C
140.620045351	Dm
142.849160998	Am7
145.078276644	F
146.610793651	D7
148.421950113	Dm7b5/C
149.211428571	Aaug
150.047346939	G
150.743945578	Amaj7
151.672743764	Dm7
154.969977324	Bbmaj7
156.874013605	F/A
157.524172336	C6
158.220770975	D7
160.682086168	Dm7b5/C
161.332244898	A
163.840000000	Dm7b5/C
164.490158730	Bbmaj7
166.487074830	C
167.694512472	Dm
169.552108844	Dm7b5/C
171.223945578	Bbmaj7
172.477823129	C6
173.685260771	Ddim
175.914376417	Am
176.657414966	Bbmaj7
178.515011338	C/G
179.722448980	Dm
181.487165533	Dm7
183.066122449	Bb7
184.552199546	C
185.620317460	Dm
188.220952381	F/C
188.731791383	Bbmaj7
189.799909297	F6
190.542947846	C
191.239546485	Dm7
193.933061224	Bm7b5/A
194.629659864	Gm7
195.604897959	Bbmaj7
196.487256236	Am
197.183854875	Dm7
200.899047619	Bbmaj7
202.524444444	C
203.685442177	Dm7
207.632834467	Ab7/C
208.468752834	F#m
209.026031746	Ebmaj7
211.115827664	Gmaj7
213.112743764	Dmaj7
214.831020408	G7
218.267573696	F6
218.964172336	Em7
220.914648526	C#6
222.029206349	D
224.954920635	G
227.230476190	Bb/F
227.927074830	Em7
229.831111111	N
231.038548753	D
232.942585034	Gm7
236.332698413	F
236.982857143	Em7
238.933333333	Bbmaj7
239.351292517	C#maj7
240.001451247	Dm
242.694965986	Gm7
245.992199546	Em7
247.896235828	D7/F#
249.196553288	D
251.564988662	Gm7
254.397823129	F
254.908662132	Em7
256.998458050	D
257.323537415	C#maj7
258.020136054	Dm
259.924172336	Bbmaj7
260.945850340	Gm7
263.360725624	F6
263.918004535	Em7
265.868480726	D7
267.261678005	D
268.933514739	Gm7
272.370068027	F
272.973786848	Em7
274.877823129	D
275.249342404	F#/C#
276.038820862	Dm
277.989297052	Gm7
281.936689342	Em7
283.887165533	D7/F#
285.001723356	Dmaj7
287.927437642	Gm7
291.038911565	Em
291.642630385	Bm
293.268027211	C#6
294.011065760	Bb/D
294.846984127	Dm7
295.961541950	Gm7
300.001814059	Em7
301.905850340	F#
302.277369615	Cm
302.602448980	Dmaj7
304.924444444	G
305.249523810	A
305.667482993	Gm7
309.011156463	Em6
309.893514739	Bm
311.240272109	Gm7b5
311.983310658	Bb/D
312.865668934	Dm
314.816145125	Gm
317.277460317	F6
317.834739229	Em7
319.878095238	Gm
327.076281179	N
